Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
1.0,1.0,NJN,Kenyon Martin,Cincinnati,15.0,757,23134,9325,5159,1439,.483,.234,.629,30.6,12.3,6.8,1.9,48.0,.100,0.1,12.1,2000
2.0,2.0,VAN,Stromile Swift,LSU,9.0,547,10804,4582,2535,275,.473,.074,.699,19.8,8.4,4.6,0.5,21.3,.095,-1.6,1.1,2000
3.0,3.0,LAC,Darius Miles,,7.0,446,11730,4507,2190,840,.472,.168,.590,26.3,10.1,4.9,1.9,9.5,.039,-1.0,3.0,2000
4.0,4.0,CHI,Marcus Fizer,Iowa State,6.0,289,6032,2782,1340,352,.435,.191,.691,20.9,9.6,4.6,1.2,2.7,.022,-3.7,-2.6,2000
5.0,5.0,ORL,Mike Miller,Florida,17.0,1032,27812,10973,4376,2666,.459,.407,.769,26.9,10.6,4.2,2.6,60.7,.105,0.8,19.8,2000
6.0,6.0,ATL,DerMarr Johnson,Cincinnati,7.0,344,5930,2121,769,304,.411,.336,.789,17.2,6.2,2.2,0.9,6.4,.052,-1.6,0.6,2000
7.0,7.0,CHI,Chris Mihm,Texas,8.0,436,8758,3262,2302,223,.459,.231,.704,20.1,7.5,5.3,0.5,13.3,.073,-3.9,-4.3,2000
8.0,8.0,CLE,Jamal Crawford,Michigan,20.0,1327,38994,19419,2948,4541,.410,.348,.862,29.4,14.6,2.2,3.4,60.7,.075,-0.1,18.4,2000
9.0,9.0,HOU,Joel Przybilla,Minnesota,13.0,592,11733,2293,3665,256,.552,.000,.557,19.8,3.9,6.2,0.4,23.0,.094,-1.7,0.8,2000
10.0,10.0,ORL,Keyon Dooling,Missouri,13.0,728,14134,5067,964,1601,.416,.349,.799,19.4,7.0,1.3,2.2,18.5,.063,-2.0,-0.2,2000
11.0,11.0,BOS,JÃ©rÃ´me MoÃ¯so,UCLA,5.0,145,1392,386,395,38,.489,.000,.593,9.6,2.7,2.7,0.3,2.1,.074,-2.9,-0.3,2000
12.0,12.0,DAL,Etan Thomas,Syracuse,9.0,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101,-2.1,-0.2,2000
13.0,13.0,ORL,Courtney Alexander,Fresno State,3.0,187,4067,1690,409,227,.422,.339,.813,21.7,9.0,2.2,1.2,4.1,.048,-3.7,-1.7,2000
14.0,14.0,DET,Mateen Cleaves,Michigan State,6.0,167,1863,609,175,310,.389,.267,.728,11.2,3.6,1.0,1.9,-0.8,-.021,-5.6,-1.7,2000
15.0,15.0,MIL,Jason Collier,Georgia Tech,5.0,151,2178,841,443,51,.455,.350,.738,14.4,5.6,2.9,0.3,1.9,.042,-5.4,-1.9,2000
16.0,16.0,SAC,Hedo TÃ¼rkoÄlu,,15.0,997,26695,11022,3971,2832,.426,.384,.784,26.8,11.1,4.0,2.8,63.3,.114,0.9,19.6,2000
17.0,17.0,SEA,Desmond Mason,Oklahoma State,10.0,643,19641,7767,2863,1049,.449,.260,.740,30.5,12.1,4.5,1.6,23.1,.056,-2.4,-2.1,2000
18.0,18.0,LAC,Quentin Richardson,DePaul,13.0,783,20785,8032,3666,1138,.397,.355,.718,26.5,10.3,4.7,1.5,32.8,.076,-0.4,8.5,2000
19.0,19.0,CHH,Jamaal Magloire,Kentucky,12.0,680,14621,4917,4408,386,.480,.000,.639,21.5,7.2,6.5,0.6,27.7,.091,-2.9,-3.1,2000
20.0,20.0,PHI,Speedy Claxton,Hofstra,7.0,334,8548,3096,830,1441,.409,.193,.762,25.6,9.3,2.5,4.3,14.2,.080,-0.3,3.6,2000
21.0,21.0,TOR,Morris Peterson,Michigan State,11.0,711,19366,7628,2483,1090,.418,.373,.773,27.2,10.7,3.5,1.5,35.7,.089,-0.4,7.6,2000
22.0,22.0,NYK,Donnell Harvey,Florida,5.0,205,3318,1150,827,161,.460,.100,.659,16.2,5.6,4.0,0.8,4.7,.069,-2.6,-0.5,2000
23.0,23.0,UTA,DeShawn Stevenson,,13.0,824,18396,5930,1832,1355,.406,.340,.698,22.3,7.2,2.2,1.6,12.1,.032,-2.7,-3.5,2000
24.0,24.0,CHI,Dalibor BagariÄ,,3.0,95,973,251,238,37,.361,.000,.559,10.2,2.6,2.5,0.4,-0.9,-.043,-7.9,-1.5,2000
25.0,25.0,PHO,Jake Tsakalidis,,7.0,315,5005,1497,1238,101,.490,.000,.657,15.9,4.8,3.9,0.3,9.9,.095,-3.1,-1.4,2000
26.0,26.0,DEN,Mamadou N'Diaye,Auburn,5.0,69,858,262,225,8,.427,.000,.736,12.4,3.8,3.3,0.1,1.8,.101,-4.2,-0.5,2000
